id,parent_id/id,tax_ids/id,code,name,type,user_type/id,reconcile,note
pcg_6164,pcg_616,,6164,Risques d'exploitation,Regular,account.data_account_type_expense,False,
pcg_6165,pcg_616,,6165,Insolvabilité clients,Regular,account.data_account_type_expense,False,
pcg_617,pcg_61,,617,Études et recherches,Regular,account.data_account_type_expense,False,
pcg_618,pcg_61,,618,Divers,View,account.data_account_type_view,False,
pcg_6181,pcg_618,,6181,Documentation générale,Regular,account.data_account_type_expense,False,
pcg_6183,pcg_618,,6183,Documentation technique,Regular,account.data_account_type_expense,False,
pcg_6185,pcg_618,,6185,"Frais de colloques, séminaires, conférences",Regular,account.data_account_type_expense,False,
pcg_619,pcg_61,,619,"Rabais, remises et ristournes obtenus sur services extérieurs",Regular,account.data_account_type_expense,False,
pcg_62,pcg_Classe_6,,62,Autres services extérieurs,View,account.data_account_type_view,False,
pcg_621,pcg_62,,621,Personnel extérieur à l'entreprise,View,account.data_account_type_view,False,
pcg_6211,pcg_621,,6211,Personnel intérimaire,Regular,account.data_account_type_expense,False,
pcg_6214,pcg_621,,6214,Personnel détaché ou prêté à l'entreprise,Regular,account.data_account_type_expense,False,
pcg_622,pcg_62,,622,Rémunérations d'intermédiaires et honoraires ,View,account.data_account_type_view,False,
pcg_6221,pcg_622,,6221,Commissions et courtages sur achats ,Regular,account.data_account_type_expense,False,
pcg_6222,pcg_622,,6222,Commissions et courtages sur ventes,Regular,account.data_account_type_expense,False,
pcg_6224,pcg_622,,6224,Rémunérations des transitaires,Regular,account.data_account_type_expense,False,
pcg_6225,pcg_622,tva_acq_normale,6225,Rémunérations d'affacturage,Regular,account.data_account_type_expense,False,
pcg_6226,pcg_622,tva_acq_normale,6226,Honoraires,Regular,account.data_account_type_expense,False,
pcg_6227,pcg_622,tva_acq_normale,6227,Frais d'actes et de contentieux,Regular,account.data_account_type_expense,False,
pcg_6228,pcg_622,tva_acq_normale,6228,Divers,Regular,account.data_account_type_expense,False,
pcg_623,pcg_62,tva_acq_normale,623,"Publicité, publications, relations publiques",View,account.data_account_type_view,False,"Dont annonces légales, greffe, cartes visites"
pcg_6231,pcg_623,tva_acq_normale,6231,Annonces et insertions,Regular,account.data_account_type_expense,False,
pcg_6232,pcg_623,tva_acq_normale,6232,Échantillons,Regular,account.data_account_type_expense,False,
pcg_6233,pcg_623,tva_acq_normale,6233,Foires et expositions,Regular,account.data_account_type_expense,False,
